title,review,vote
Toy story,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",fresh
Toy story,The year's most inventive comedy.,fresh
Toy story,A winning animated feature that has something for everyone on the age spectrum.,fresh
Toy story,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,fresh
Toy story,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",fresh
Toy story,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",fresh
Toy story,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",fresh
Toy story,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,fresh
Toy story,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",fresh
Toy story,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",fresh
Toy story,The result is a visionary roller-coaster ride of a movie.,fresh
Toy story,"Disney's witty, wondrously imaginative, all-computer-generated cartoon is far and away the best of the new holiday movies in town.",fresh
Toy story,Disney's first computer-made animated feature is a 3-D eye popper.,fresh
Toy story,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",fresh
Toy story,The one big negative about Toy Story involves Disney's overcommercialization.,fresh
Toy story,"Technically, Toy Story is nearly flawless.",fresh
Toy story,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,fresh
Toy story,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",fresh
Toy story,"The great voice acting, the visual puns, all added up to an animation game changer.",fresh
Jumanji,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",rotten
Jumanji,A calculated but very entertaining special effects extravaganza.,fresh
Grumpy Old Men,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,fresh
Grumpy Old Men,"Mediocre, regrettably.",rotten
Grumpy Old Men,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",fresh
Grumpy Old Men,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",fresh
Grumpy Old Men,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",rotten
Grumpy Old Men,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",fresh
Waiting to Exhale,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,rotten
